tweet_text,cyberbullying_type,is_targeting_women,needs_review,sentiment_score,is_hostile_to_women,is_hostile_needs_review
"First line: -""why boys crack up at rape jokes"" -implies that all boys find rape hilarious. No disagreement from you there, John? -""...think having a girlfriend is gay"" -implies that boys believe this, based on... what exactly? News to me. Do you agree that boys think this?",gender,True,True,-0.5618,True,True
"he beat women and a gay man almost to death. he tried to kill and rape his girlfriend with a pitchfork. dumb kpop jokes are the very LEAST of what he deserves. he doesn’t need anyone to defend his EVIL, misogynistic, homophobic, rapist ass but thanks anyway https://twitter.com/valentaevibes/status/1008839625027268608",gender,True,True,-0.9017,True,True
"The Miseducation of the American Boy Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity",gender,True,True,-0.2023,True,True
"@andythewookie1 From zero to ""cunt"" in eight seconds. Too bad that word really means ""I'm an insecure whiny baby"" and says nothing about me.",gender,False,True,-0.8591,False,True
I hate the way you can’t punch people through the internet!! Funny how gays making jokes about male rape but when one of their females faves celebs says they’ve been raped they wouldn’t fucking dare crack a joke!! Minty cunts!! Not only making jokes but OUTING A VICTIM!!,gender,True,True,-0.9671,True,True
So I know. That CWs are a fucking joke now but some things should still fucking have them just my take just my onion but I rly wish there was like. At LEAST a csa warning on / / / / / / / / / / / / “dad had girlfriend rape son with autism because he thought boy was gay” article,gender,True,True,-0.4773,True,True
"@MrReese17 people not dislike him because he's a cunt who jokes about rape, hate for gays (which isn't true) etc",gender,False,True,-0.8945,False,True
"Starting with such an interesting & important piece, I urge everyone to go & read it now - @peggyorenstein's 'The Miseducation of the American Boy'. Why boys tell rape jokes, think having a girlfriend is “gay"", and can’t cry, &amp; why we need to give them new models of masculinity..",gender,True,True,-0.5106,True,True
"@semzyxx @owais00 Here's the trick. When she says she was six years old, it means that she was six years old. Got it cunt?",gender,True,True,-0.5267,True,True
"Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=share",gender,True,True,-0.2023,True,True
"Why boys crack up at rape jokes, think having a girlfriend is ""gay,"" and still can't cry—and why we need to give them new and better models of masculinity, from @peggyorenstein:",gender,True,True,-0.2023,True,True
"The Miseducation of the American Boy Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity - The Atlantic https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,True,True,-0.2023,True,True
"The Miseducation of the American Boy: Why boys crack up at #rape jokes, think having a girlfriend is “#gay,” and still can’t cry—and why we need to give them new and better models of #masculinity https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,True,True,-0.2023,True,True
"The fact that you’re a black man insulting a black female in these times over a white bitch is beyond me LMAO . Tell yo fat ass WHITE ASS girlfriend or whatever that thing is to quit saying nigga . Hell, she prolly call u one",gender,True,True,-0.9403,True,True
Top-notch commentary A+ would ridicule again. @LTCuntMuscle @LeviathanPride hahahahahaha what a fuckin pussy,gender,False,True,-0.4588,False,True
Oooh.  applications for 2016.  Can I sign up to be the bitchy cunt.  #mkr #cuntfacebitch http://t.co/nXcRIWYLa0,gender,True,True,-0.7579,True,True
@MehSusan  I'm sure you give good ones. Too bad you're probably ugly as dirt like most FemiNazi cunts.,gender,False,True,-0.7703,False,True
"Our January/February cover story by @peggyorenstein is out now: Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity. http://on.theatln.tc/iKiiV6a",gender,True,True,-0.2023,True,True
@StuartBarron fuck you then man! #shitecunt,gender,False,True,-0.5848,False,True
mary's just a cunt in general tbh like i don't need your feminazi shit all over my timeline and dashboard,gender,False,True,-0.6486,False,True
"The Miseducation of the American Boy. Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=share",gender,True,True,-0.2023,True,True
"Don't laugh Kat, you cunt #mkr",gender,False,True,-0.7289,False,True
@AvnishParkash You are a class A cunt,gender,False,True,-0.4939,False,True
"How do you sleep at night, Kat? You. Cunt. #MKR #mkr2015",gender,False,True,-0.4939,False,True
"“Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity” https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,True,True,-0.2023,True,True
Ok like. I love the seungri going to prison memes and that cunt gets what he deserves but why are people making prison rape jokes why are rape jokes suddenly treated as normal and funny when they refer to prison it demonises gay ppl and is fucking disgusting why this,gender,False,True,-0.9701,False,True
"RT @PsychicStoner: No I'm not sexist for calling you a cunt, you're just offended that I called you what you are and are really just angry …",gender,False,True,-0.8744,False,True
"The #Miseducation of the American Boy: Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of #masculinity. https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,True,True,-0.2023,True,True
