tweet_text,cyberbullying_type,is_targeting_women,needs_review
"First line: -""why boys crack up at rape jokes"" -implies that all boys find rape hilarious. No disagreement from you there, John? -""...think having a girlfriend is gay"" -implies that boys believe this, based on... what exactly? News to me. Do you agree that boys think this?",gender,True,True
"he beat women and a gay man almost to death. he tried to kill and rape his girlfriend with a pitchfork. dumb kpop jokes are the very LEAST of what he deserves. he doesn’t need anyone to defend his EVIL, misogynistic, homophobic, rapist ass but thanks anyway https://twitter.com/valentaevibes/status/1008839625027268608",gender,True,True
"The Miseducation of the American Boy Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity",gender,True,True
"@andythewookie1 From zero to ""cunt"" in eight seconds. Too bad that word really means ""I'm an insecure whiny baby"" and says nothing about me.",gender,False,True
I hate the way you can’t punch people through the internet!! Funny how gays making jokes about male rape but when one of their females faves celebs says they’ve been raped they wouldn’t fucking dare crack a joke!! Minty cunts!! Not only making jokes but OUTING A VICTIM!!,gender,True,True
#CuntAndAndre #CuntAndAndre #CuntAndAndre #MKR biggest FLOGS the show has ever had on it. EVER!! #CANTCOOK  #FUCKOFF #KatAndAndre,gender,False,True
Oh kat.... never mind #cuntandandre #mkr,gender,False,True
"RT @MarkTrueblood: TRUTH! A smart woman explains why men don't want to have to ""handle"" their wives and girlfriends. http://t.co/hcEfq6lsVi…",gender,True,True
So I know. That CWs are a fucking joke now but some things should still fucking have them just my take just my onion but I rly wish there was like. At LEAST a csa warning on / / / / / / / / / / / / “dad had girlfriend rape son with autism because he thought boy was gay” article,gender,True,True
".""@DustyPee: #cuntandandre Best thing I've heard! #mkr”",gender,False,True
RT @DufresneFrank: @yercuntiness @Anne_Starling @CHSommers she is the Neo of the feminazi matrix.,gender,True,True
"@MrReese17 people not dislike him because he's a cunt who jokes about rape, hate for gays (which isn't true) etc",gender,False,True
WHY DO GIRLS HAVE TO CALL THEIR FEMALE FRIENDS WIFEY OR GIRLFRIEND? like the girls i know have 15-20 Wifeys bitch there's a limit to polygamy also @Bhumi23718651 ukwim,gender,True,True
"Starting with such an interesting & important piece, I urge everyone to go & read it now - @peggyorenstein's 'The Miseducation of the American Boy'. Why boys tell rape jokes, think having a girlfriend is “gay"", and can’t cry, &amp; why we need to give them new models of masculinity..",gender,True,True
"@semzyxx @owais00 Here's the trick. When she says she was six years old, it means that she was six years old. Got it cunt?",gender,True,True
"Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=share",gender,True,True
"Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity. Thank YOU @peggyorenstein https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,True,True
Can't believe #cuntandandre are still in the comp,gender,False,True
"Why boys crack up at rape jokes, think having a girlfriend is ""gay,"" and still can't cry—and why we need to give them new and better models of masculinity, from @peggyorenstein:",gender,True,True
Who told these fucking girls they were hot #mkr #cuntofahead,gender,True,True
"I mean rape jokes...ok fair.. homophobic jokes, depends on the person, I have one gay friend who makes them himself and about himself. Sexist jokes lmao actually stop being sensitive, I make them with my girlfriend all the time and she makes them too.",gender,True,True
"The Miseducation of the American Boy Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity - The Atlantic https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,True,True
Get Gordon Ramsay on there he'll sort #cuntandandre out,gender,True,True
"The Miseducation of the American Boy: Why boys crack up at #rape jokes, think having a girlfriend is “#gay,” and still can’t cry—and why we need to give them new and better models of #masculinity https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,True,True
"The fact that you’re a black man insulting a black female in these times over a white bitch is beyond me LMAO . Tell yo fat ass WHITE ASS girlfriend or whatever that thing is to quit saying nigga . Hell, she prolly call u one",gender,True,True
Top-notch commentary A+ would ridicule again. @LTCuntMuscle @LeviathanPride hahahahahaha what a fuckin pussy,gender,False,True
Oooh.  applications for 2016.  Can I sign up to be the bitchy cunt.  #mkr #cuntfacebitch http://t.co/nXcRIWYLa0,gender,True,True
Scoring like a Cunt because you can't cook for shit isn't fighting hard Kat.... You stupid mole #mkr,gender,False,True
@MehSusan  I'm sure you give good ones. Too bad you're probably ugly as dirt like most FemiNazi cunts.,gender,False,True
"Our January/February cover story by @peggyorenstein is out now: Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity. http://on.theatln.tc/iKiiV6a",gender,True,True
"Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity Jeff Perera Thank you for sharing. #leadershipdevelopement #leadershipexcellence #better https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/?preview=6iueaQcbGmSVmP5F6DO-ubMaCOQ&amp;utm_campaign=later-linkinbio-theatlantic&amp;utm_content=later-4467028&amp;utm_medium=social&amp;utm_source=instagram&amp;fbclid=IwAR1cg03PzmHqBerwagxqctorPCsVSItIAmZehR5sHOrYsq51PiR92ljCezU",gender,True,True
@StuartBarron fuck you then man! #shitecunt,gender,False,True
"#mkr Was out shopping so I just caught up on the Ep. Does anyone think ""bobble head"" when they see Lloyd? Kat- still a cunt,still can't cook",gender,False,True
mary's just a cunt in general tbh like i don't need your feminazi shit all over my timeline and dashboard,gender,False,True
"The Miseducation of the American Boy. Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=share",gender,True,True
"Don't laugh Kat, you cunt #mkr",gender,False,True
@AvnishParkash You are a class A cunt,gender,False,True
"How do you sleep at night, Kat? You. Cunt. #MKR #mkr2015",gender,False,True
"“Why boys crack up at rape jokes, think having a girlfriend is “gay,” and still can’t cry—and why we need to give them new and better models of masculinity” https://www.theatlantic.com/magazine/archive/2020/01/the-miseducation-of-the-american-boy/603046/",gender,True,True
Ok like. I love the seungri going to prison memes and that cunt gets what he deserves but why are people making prison rape jokes why are rape jokes suddenly treated as normal and funny when they refer to prison it demonises gay ppl and is fucking disgusting why this,gender,False,True
"RT @PsychicStoner: No I'm not sexist for calling you a cunt, you're just offended that I called you what you are and are really just angry …",gender,False,True
